year,month,state,latitude,longitude,firespots,firespots2
2001,7,AMAZONAS,-7.122036667,-61.61462222,9,0.000237304
2001,7,MARANHAO,-4.573788182,-47.02147273,77,0.002030269
2001,7,MATO GROSSO,-11.62473725,-55.89167407,918,0.024205031
2001,7,PARA,-6.666403385,-52.04361213,709,0.018694299
2001,7,RONDONIA,-11.20608419,-62.32826351,74,0.001951168
2001,7,RORAIMA,3.3,-60.8633,1,2.63671E-05
2001,7,TOCANTINS,-7.5825,-48.51882917,24,0.000632811
2001,8,ACRE,-9.841483308,-68.20941003,399,0.010520487
2001,8,AMAPA,1.0625,-50.98818333,12,0.000316406
2001,8,AMAZONAS,-7.077374729,-62.59485611,499,0.013157201
2001,8,MARANHAO,-4.431957139,-46.7274218,367,0.009676739
2001,8,MATO GROSSO,-11.09944305,-56.64784249,4997,0.131756579
2001,8,PARA,-6.88212859,-51.23895518,9042,0.238411644
2001,8,RONDONIA,-10.68889855,-63.03440442,2132,0.056214734
2001,8,RORAIMA,3.35,-59.918325,4,0.000105469
2001,8,TOCANTINS,-6.829001542,-48.5416,227,0.00598534
2001,9,ACRE,-9.923437188,-67.81200833,288,0.007593735
2001,9,AMAPA,1.277824316,-50.86905789,95,0.002504878
2001,9,AMAZONAS,-7.136031607,-64.05108155,168,0.004429679
2001,9,MARANHAO,-4.234080798,-46.33464643,952,0.025101513
2001,9,MATO GROSSO,-11.60413854,-55.97380886,5020,0.132363023
2001,9,PARA,-5.863211141,-50.06984612,6136,0.161788747
2001,9,RONDONIA,-11.35038416,-62.80890202,1929,0.050862205
2001,9,RORAIMA,4.125,-60.6633,1,2.63671E-05
2001,9,TOCANTINS,-7.077039212,-48.55461406,939,0.024758741
2001,10,ACRE,-9.997675693,-68.04726496,137,0.003612298
2001,10,AMAPA,1.362633212,-51.00619119,193,0.005088857
2001,10,AMAZONAS,-4.043815241,-59.94740422,332,0.008753889
2001,10,MARANHAO,-4.133627336,-46.1404516,3254,0.085798661
2001,10,MATO GROSSO,-12.68470536,-56.51102751,4300,0.113378685
2001,10,PARA,-3.727703526,-50.31913224,5102,0.134525128
2001,10,RONDONIA,-10.90821714,-62.97818078,796,0.02098824
2001,10,RORAIMA,1.676666923,-60.20128462,13,0.000342773
2001,10,TOCANTINS,-6.417990242,-48.4860103,165,0.004350577
2001,11,ACRE,-7.78,-72.36,1,2.63671E-05
2001,11,AMAPA,1.127196108,-51.03758596,406,0.010705057
2001,11,AMAZONAS,-2.449651967,-60.91992951,244,0.006433581
2001,11,MARANHAO,-3.593864974,-45.99504272,2348,0.061910035
2001,11,MATO GROSSO,-14.30640356,-57.78085673,208,0.005484364
2001,11,PARA,-3.074655235,-50.63098252,4936,0.130148183
2001,11,RONDONIA,-10.97760522,-63.24724641,92,0.002425777
2001,11,RORAIMA,2.223048421,-60.39996053,76,0.002003902
2001,11,TOCANTINS,-6.445190571,-48.50680286,35,0.00092285
2001,12,AMAPA,1.17107371,-50.70156847,593,0.015635712
2001,12,AMAZONAS,-3.085227727,-58.04939091,22,0.000580077
